Date,Total Cases
2020-03-26,467396
2020-03-27,527143
2020-03-28,591100
2020-03-29,656138
2020-03-30,714681
2020-03-31,776399
2020-04-01,850886
2020-04-02,927795
2020-04-03,1005367
2020-04-04,1087126
2020-04-05,1173455
2020-04-06,1244905
2020-04-07,1316292
2020-04-08,1391185
2020-04-09,1476096
2020-04-10,1563123
2020-04-11,1652464
2020-04-12,1734172
2020-04-13,1806560
2020-04-14,1872943
2020-04-15,1953090
2020-04-16,2033049
2020-04-17,2116601
2020-04-18,2198764
2020-04-19,2277788
2020-04-20,2350297
2020-04-21,2426657
2020-04-22,2512703
