Date,Total Cases
2020-03-26,467391
2020-03-27,527133
2020-03-28,591098
2020-03-29,656173
2020-03-30,714706
2020-03-31,776422
2020-04-01,850903
2020-04-02,927797
2020-04-03,1005370
2020-04-04,1087125
2020-04-05,1173454
2020-04-06,1244901
2020-04-07,1316286
2020-04-08,1391185
2020-04-09,1476092
2020-04-10,1563121
2020-04-11,1652463
2020-04-12,1734168
2020-04-13,1806558
2020-04-14,1872941
2020-04-15,1948165
2020-04-16,2029177
2020-04-17,2113513
2020-04-18,2196824
2020-04-19,2280936
2020-04-20,2355078
2020-04-21,2432352
2020-04-22,2519739
2020-04-23,2587368
2020-04-24,2667439
